Keywords,Search Location,Job ID,Title,Company,City,Country,Type,Seniority,Posted,Collected Date,Applicants,Employees,Industry,Job URL,Job Description
Data Engineer,European Union,3949253737,"Data Engineer Spark
Data Engineer Spark",Logicalis Spain,Spain (Remote),N/A,On-site,Mid-Senior level,2024-07-30,2024-08-02,100,1001,IT Services and IT Consulting,https://www.linkedin.com/jobs/search/?currentJobId=3949253737&keywords=Data%20Engineer&location=European%20Union&refresh=true&start=275,"""About the job
En Logicalis Spain estamos buscando un perfil Data Engineer Spark para incorporarse en nuestra área interna de Delivery en un equipo multidisciplinar de consultores que trabajan por squads dentro de nuestra unidad de negocio de Data & Analytics ubicada en las oficinas de Madrid o Barcelona.

El equipo de Data & Analytics de Logicalis trabaja con clientes nacionales e internacionales, llevando a cabo importantes proyectos de inteligencia artificial y analítica avanzada, estrategia del dato, gobierno, integración y arquitectura, abarcando todo el ciclo de vida del dato.

REQUISITOS TÉCNICOS
Al menos 2 años de experiencia como Data Engineer desarrollo con tecnología Spark y Scala.
Muy valorable contar con experiencia en entornos de Streaming / Real Time.
Valorable experiencia con Python y PySpark.
Valorable conocimientos de las tecnologías Kafka y Confluent.

BENEFICIOS
> Incorporación inmediata a compañía líder del sector IT con un alto grado de expertise en el área de Data & Analytics dónde nos encontramos en pleno proceso de expansión.
> Estabilidad laboral a través de contrato indefinido con amplias oportunidades de desarrollo profesional y crecimiento en la compañía.
> Modalidad de trabajo 100% remoto con flexibilidad para ir puntualmente a nuestras oficinas.
> Paquete retributivo muy competitivo acorde a la valía del candidato.
> Posibilidad de acogerse a planes de retribución flexible (tarjeta restaurante, tarjeta transporte y tarjeta guardería).
> Seguro médico y GYMPASS.
> Planes de formación adaptados a cada perfil (cursos técnicos, certificaciones oficiales, formación de idiomas...).
> Portal de descuentos especiales para empleados.
> Buen ambiente de trabajo y entorno muy colaborativo."""
Data Engineer,European Union,3957691371,"Data Engineer (Databricks / PySpark)
Data Engineer (Databricks / PySpark)",knowmad mood,Spain (Remote),N/A,On-site,Associate,2024-07-19,2024-08-02,100,1001,IT Services and IT Consulting,https://www.linkedin.com/jobs/search/?currentJobId=3957691371&keywords=Data%20Engineer&location=European%20Union&refresh=true&start=275,"""About the job
¡Somos knowmad mood, anteriormente atSistemas!

Acabamos de cruzar el umbral de los 2500 talentos y seguimos apostando por la tecnología y la innovación, y queremos contar contigo.

En estos momentos estamos buscando incorporar al equipo un/a Data Engineer con al menos 3 años de experiencia para participar dentro de uno de nuestros proyectos del sector asegurador. 

¿𝐐𝐮é 𝐜𝐨𝐦𝐩𝐞𝐭𝐞𝐧𝐜𝐢𝐚𝐬 𝐞𝐬𝐩𝐞𝐫𝐚𝐦𝐨𝐬 𝐝𝐞 𝐭𝐢?

Experiencia con Databricks, extracción de datos de Datawarehouse, construcción de Data Lake, etc.
Experiencia en desarrollo con PySpark.
Experiencia con gran volumetría de datos (cientos de millones y miles de millones de registros).

¿Cuáles serán tus responsabilidades?
Extracción de datos de Datawarehouse.
Construcción de Data Lake.
Construcción de funciones para que los compañeros de visualización de datos puedan extraer los datos de forma sencilla.

¿Qué implica formar parte de knowmad mood? 👨‍👩‍👧‍👦

Plan de carrera 🏄 Tu crecimiento es el nuestro, por eso, todos nuestros profesionales tienen a su disposición procesos diseñados específicamente para sus funciones dentro de la compañía: modelo de competencias, evaluaciones, planes de formación y certificación, proyectos y eventos.

Retribución Flexible 💰Podrás optar por cheques restaurante, cheques guardería, tarjeta de transporte, o seguro médico. Junto los beneficios y descuentos que te proponemos al unirte al Club de ventajas.

Conciliación vida familiar y laboral 💆Nos gusta que tengas equilibrio en tu vida personal y en tu carrera profesional, por lo que disfrutamos de 22 días de vacaciones + 2 días de libre disposición + 24 y 31 de diciembre, además de opciones de teletrabajo, horario flexible y jornada intensiva los viernes y en verano.

Formación continua 💻 como medio para conseguir el desarrollo personal y profesional de nuestros compañeros. Tendrás opciones para formarte en últimas tecnologías, inglés, competencias/habilidades. Además de nuestro programa de certificaciones oficiales y las licencias de Udemy Business.

Wellness 🔋Promovemos un estilo de vida saludable entre todos los que formamos knowmad mood y, por eso, contamos con varias iniciativas que fomentan nuestra salud y bienestar. Nuestro equipo de People Care está siempre a tu disposición para que las experiencias en knowmad mood sean humanas y lo más alegres posible.

Nos gusta celebrar los momentos especiales 🎉 Así que estate atento a lo largo del año porque recibirás alguna que otra sorpresa

...¡entre otras muchas cosas!

Si tienes cualquier duda o quieres ampliar la información, no dudes en contactar con cualquiera de los compañeros de People & Talent."""
Data Engineer,European Union,3986512629,"Data Engineer : INF/NG25/DC
Data Engineer : INF/NG25/DC","Kalyptus, It & Digital Executive Search",Lille,France,On-site,Associate,2024-07-29,2024-08-02,56,11,Staffing and Recruiting,https://www.linkedin.com/jobs/search/?currentJobId=3986512629&keywords=Data%20Engineer&location=European%20Union&refresh=true&start=275,"""About the job
Qui recrute un Data Engineer ?
Notre client, situé sur la métropole lilloise, est l’un des principaux leaders dans son domaine.

Pour donner suite à une grande transformation entamée depuis quelques années tant organisationnelle que technologique, notre client souhaite renforcer ses équipes Data afin de mieux accompagner les équipes métiers.

Elle offre un environnement dynamique et innovant, avec une forte orientation business et une utilisation avancée des technologies data-driven.

Dans ce cadre, notre client propose un poste de Data Engineer.


Que sera le périmètre du Data Engineer :
En tant que Data Engineer, vous jouerez un rôle essentiel dans la transformation des données et l'optimisation des processus métiers.
Vos principales responsabilités incluront :
Collaborer avec les équipes business pour comprendre leurs besoins et les traduire en spécifications techniques.

Extraire, préparer et transformer les données en utilisant Python et Databricks pour les intégrer dans le datalake.

Développer des solutions data en Python, SQL et Databricks, en optimisant les processus de traitement de données.

Fournir des conseils stratégiques basés sur l'analyse des données, identifier des leviers de performance, et contribuer à une culture data-driven.

Travailler étroitement avec les parties prenantes du projet et assurer une communication fluide entre les équipes business et techniques.

Participer à des projets impliquant l'intelligence artificielle et l'automatisation pour optimiser les analyses.


Profil du Data Engineer : 
Vous maîtrisez parfaitement Python et SQL, avec une expérience significative dans l'utilisation de Databricks.

Vous êtes à l'aise avec les outils de visualisation de données, et une expérience avec Power BI serait appréciée.

Vous êtes titulaire d'un diplôme de niveau Bac+3/4 en informatique, data science ou dans un domaine connexe.

Vous justifiez d'une expérience de 3 à 4 ans dans un poste similaire, où vous avez développé vos compétences en analyse et gestion de données.

Vous avez une forte sensibilité au business et êtes capable de comprendre et de traduire les besoins métiers en solutions data.

Vous faites preuve d'autonomie et d'initiative, avec un fort sens de l'innovation.

Vous parlez couramment anglais (niveau C1 idéalement, B2 minimum) et êtes capable de communiquer aisément à l'oral. Environ 50% du temps de travail se fait en anglais."""
Data Engineer,European Union,3987964031,"Azure Data Engineer
Azure Data Engineer",ALGOTEQUE Innovation Hub,Cracow,Poland,On-site,N/A,2024-08-01,2024-08-02,0,201,Information Technology & Services,https://www.linkedin.com/jobs/search/?currentJobId=3987964031&keywords=Data%20Engineer&location=European%20Union&refresh=true&start=275,"""About the job
ALGOTEQUE is an IT consultancy firm that helps startups, mid-sized and large corporations to create and deliver innovative technologies. Our team has a successful track record in designing, developing, implementing, and integrating software solutions (AI, ML, BI, Web, Automation) for Telecom, Energy, Bank, Insurance, Pharma, Automotive, Industry, e-commerce. We deliver our services both in fixed-price and time-and-materials models, helping our customers achieve their business and IT strategies.

Job Description

We are seeking a highly skilled and motivated Azure Data Engineer to join our dynamic team. The ideal candidate will be proficient in designing, developing, and maintaining scalable data pipelines and architectures using various Azure technologies. This role requires a deep understanding of cloud-based data solutions and the ability to deploy complex data processing systems.

Key Responsibilities

 Design, develop, and deploy scalable data pipelines using Azure Data Factory (ADF) and Azure Databricks (ADB).
 Utilize PySpark within Azure Databricks environments to process large datasets efficiently.
 Manage and optimize Azure SQL databases for high performance and reliability.
 Develop data models and architectures for data ingestion, transformation, and aggregation.
 Implement data storage solutions using Azure Blob Storage, Data Lake, and other Azure storage technologies.
 Ensure data quality and integrity throughout the data lifecycle.
 Collaborate with data scientists and business analysts to gather requirements and deliver high-quality data solutions.
 Monitor, troubleshoot, and optimize data systems for performance issues.
 Maintain security standards and comply with data governance policies.
 Document technical processes, systems, and user guides for internal use.

Profile / Requirements

 Bachelor's degree in computer science, Engineering, or related field.
 Experience with Azure Data Factory, Azure Databricks, and PySpark.
 Strong knowledge of SQL and experience managing Azure SQL databases.
 Proficiency in developing and optimizing data pipelines and architectures.
 Experience with other Azure services like Cosmos DB, Azure Functions, and Azure Logic Apps is a plus.
 Strong analytical and problem-solving skills.
 Excellent communication and teamwork abilities.
 Valid EU/PL work permit.

Preferred Skills

 Certification in Microsoft Azure Data Engineering or similar credentials.
 Experience with machine learning workflows and models deployment in Azure.
 Knowledge of additional programming languages like Scala or Python.

AO2780"""
Data Engineer,European Union,3870678234,"Data Analytics Engineer
Data Analytics Engineer with verification",Safeguard Global,Romania (Remote),N/A,On-site,Mid-Senior level,2024-07-19,2024-08-02,100,1001,IT Services and IT Consulting,https://www.linkedin.com/jobs/search/?currentJobId=3870678234&keywords=Data%20Engineer&location=European%20Union&refresh=true&start=275,"""About the job
Looking for a Job That Fits Your Life, anywhere in the World? 

Welcome to Safeguard Global! We're all about making work fit into your world, wherever that may be.

About Us:

At Safeguard Global, we're not your average company. Sure, we handle global solutions for over 1500+ clients across 170+ countries, but what really makes us and tick is giving you and 2000+ Guardians the freedom to work in a way that suits your style, no matter the time zone in over 50+ countries.

Role Overview:

Our Data and BI teams are dedicated to providing impactful insights to our payroll management stakeholders and customers.

We are committed to empowering internal leaders and stakeholders with access to data that facilitates informed decision-making. Similarly, our customers leverage Safeguard Global analytical tools to gain insights into their international payroll and employee data, enhancing their ability to adapt, thrive, and effectively manage their global workforce.

We are currently seeking a skilled Data Analytics Engineer to join our vibrant team. The ideal candidate will possess the skills to seamlessly integrate data analysis with engineering excellence while demonstrating a track record of successfully navigating complex analytical challenges

How you will make a difference: 

Navigate seamlessly between data engineering and BI teams, combining analytics and engineering expertise to deliver integrated data solutions
Collaborate with cross-functional teams to develop and implement data products that not only align with business objectives but also cater to evolving analytical needs
Contribute to the maintenance and optimization of data models, pipelines, and dashboards
Play a key role in preserving and enhancing data quality and integrity to establish a reliable foundation for various data-driven processes
Provide technical support to stakeholders, addressing inquiries and troubleshooting issues related to data analytics tools and solutions

What will give you an advantage: 

Degree in Computer Science, Engineering or Math
Proficiency in Python with a focus on data analysis and manipulation
Strong proficiency in SQL for effective data modeling, querying, and analysis
Proven working experience in implementing and optimizing data pipelines
Hands-on experience with cloud platforms (preferably AWS) and event-driven architecture
Experience in data visualization and UI
Expertise in ensuring data quality and integrity through automated monitoring and testing
Excellent communication skills, both written and verbal
Self-motivated, proactive, and capable of working independently or collaboratively in a team

Will be a Plus:

3+ years of experience in a similar role
Proficiency in additional scripting languages, such as TypeScript
Familiarity with Domo, PowerBI, QuickSight, or any BI tools
Exposure to the following AWS services or similar technologies: AWS Glue, Athena, EC2, S3, DynamoDB, CloudWatch
Understanding of the Payroll and/or HR domains
Demonstrable experience in Machine Learning and AI

Our Global Benefits 

💻 Autonomy & Flexibility (Work in Any Way): Be supported with as much flexibility as possible. 
🧑 Bonding Leave: Enjoy paid leave to bond with your new family member. 
🎁 2 Charitable Days: Contribute to causes you believe in. 
🏆 Reward & Recognition Program: Be rewarded for your success and championing our values. 
💰 Corporate bonus/SIP: All Guardians are eligible for our annual bonus scheme or sales incentive plan. 
🏢 Coworking Space: Need to meet with a client, utilize admin services or just get out of the house? We’ve got you covered with flexible workspace options based on location.

Why become a Guardian: 

🌏 International Environment: Grow your network internationally and collaborate across the world. Interact, discover cultures, and tap into local expertise. 
⭐ Our Culture: We emphasize the people factor in everything we do. Our nurturing culture ensures your ideas reach our leaders and your contributions get the recognition they deserve. 
📚 Learning: We support your continuous growth by providing access to 2 learning platforms, where you can learn at your own pace. 
Candidates should have the rights to work in one of the locations advertised.

 

Next Steps: 

Ready to join a workforce that shapes itself around your life, embraces remote work like a pro? Apply, by clicking on the following link. We wish you the best with your application. Our Guardian promise to you is to keep in touch to arrange the next stage should your application meet the position's requirements, and or a gentle update if you have been unsuccessful at this time. 

Welcome to the Future of Work!

At Safeguard Global, we are committed to providing an environment of mutual respect where equal employment opportunities are available to all applicants and Guardians."""
Data Engineer,European Union,3987781456,"Data Engineer Spark / Scala
Data Engineer Spark / Scala",Sibylone,Paris,France,On-site,Associate,2024-07-30,2024-08-02,77,201,IT Services and IT Consulting,https://www.linkedin.com/jobs/search/?currentJobId=3987781456&keywords=Data%20Engineer&location=European%20Union&refresh=true&start=275,"""About the job
SIBYLONE, société de conseil spécialisée dans les systèmes d’information de synthèse et de pilotage, aide ses clients à tirer toute la valeur de leur patrimoine de données, levier stratégique majeur de développement et de rentabilité.
Notre ambition : rendre les différents acteurs de l’entreprise autonomes dans l’exploitation des données, libérer les usages Métier, pour qu’ils soient en mesure de relever les défis de performance, de couverture de risque, de financement, de conquête client, de RSE… qui s’imposent à eux.
Spécialistes reconnus, nos consultants s’appuient pour cela sur une connaissance approfondie de l’activité business de nos clients, en lien avec nos trois piliers que sont le Métier, la Data et le Projet.
Dans le cadre du développement de notre activité Data, nous recherchons plusieurs Data Engineer.
Le Data Engineer participe à la conception, la construction, le déploiement et le maintien en production d’architectures Big Data, ces dernières ayant pour objectif de permettre tant l’évolution que l’optimisation du système d’information décisionnel existant en permettant de nouveaux usages Analytics et IA.
Vous intégrerez une équipe projet Big Data dont l’objectif premier est de conduire des projets ayant traits à des problématiques d’architecture et de conception dans un contexte Big Data & Cloud.

Vos missions
Analyser, comprendre et cadrer une architecture permettant de répondre aux besoins métiers des clients
Concevoir et mettre en place des plateformes Data en tenant compte des contraintes tant techniques que fonctionnelles
Intervenir sur la conception et le déploiement d’environnements « clusterisés » (Hadoop sur des distributions telles que Cloudera ou Hortonworks) ou Cloud public
Développement de pipelines d’ingestion et de préparation
Gestion du stockage de données (systèmes de fichiers comme HDFS, bases SQL ou NoSQL)
Alimentation d’entrepôts de données (Hive, Impala, Hbase, Snowflake, BigQuery, …)
Développer des applications d’exploration et de manipulation de données (SPARK / pySpark, Scala) afin d’alimenter les flux sortants, les reporting et d’exposer les données
Evoluer sur l’ordonnancement des traitements de données (Oozie, Bash / Shell)
Assurer le maintien en conditions opérationnelles des plateformes produites
Etablir, formaliser, et promouvoir les best practices

Pourquoi pas vous ?

Profil recherché :
De formation supérieure ingénieur en Informatique, vous justifiez d’une première expérience réussie en data engineering acquise dans un contexte projet au sein d’une start-up, d’un pure player, ou d’une ESN.
Vous disposez d’une bonne maitrise des langages propres aux environnements Big Data tels que :
Hadoop et ses distributions
Les solutions Cloud (Azure, AWS, GPC)
Spark, Scala, Python, Unix, SQL.
Une connaissance de Dataiku serait fortement appréciée !
Une connaissance de : Docker, ELK, Kubernetes, Cassandra, Kafka, … serait un plus, de même que des fondamentaux DevOps (CI / CD).
Vous avez déjà évolué dans un contexte projet agile ou scrum et faites preuve de flexibilité, d’adaptabilité et savez être force de proposition.
Au-delà de vos compétences techniques, vous êtes curieux, autonome, organisé, doté d’un bon sens relationnel et d’un esprit de synthèse.

Vous vous reconnaissez dans la description du poste ?
Vous souhaitez travailler dans un environnement stimulant et dynamique ?
Vous souhaitez rejoindre une société ambitieuse ?
Vous souhaitez comprendre l’origine de Sibylone ?

Venez-nous rencontrer : La Team Talent Acquisition sera ravie d'échanger avec vous !

Ce poste est ouvert aux personnes en situation de handicap."""
Data Engineer,European Union,3973117044,"Data Engineer
Data Engineer",Convolve NV,Kontich,Belgium,On-site,Mid-Senior level,2024-07-12,2024-08-02,0,11,IT Services and IT Consulting,https://www.linkedin.com/jobs/search/?currentJobId=3973117044&keywords=Data%20Engineer&location=European%20Union&refresh=true&start=300,"""About the job
This job is sourced from a job board. Learn More
Are you our new Data Engineer?

From building powerful data platforms and analysing large time series to processing huge amounts of data. As a Data Engineer at Convolve you eat, sleep, breath data.

Are you interested in working with data from industrial systems and do you have a real appetite for innovation? You've come to the right place. Read on and apply today!

Convolve is a start-up within the Industry 4.0 offering of The Cronos Group.

For our partners in the manufacturing industry, we are the bridge between IT and OT. We build next-generation industrial and IoT data platforms to turn their data into actionable information and knowledge. This way, they increase their sustainability and efficiency and strengthen their market position.

You have 2 – 5 years of relevant experience as a Data Engineer.
You have strong problem-solving skills and communication skills. 
Quality and attention to detail are your middle names.
Complex issues = a new challenge. 
You are familiar with agile environments.
You have knowledge of software engineering best practices (CI/CD, documentation, testing).
You have experience with our tool stack: Apache Spark, Databricks, Azure, Python/Scala/Java, Kubernetes, PowerBI and PostgreSQL.
You are fluent in Dutch and English. French is a plus. 
A gross salary based on your experience and expertise
Flexible hours and hybrid working
32 vacation days to recharge
Company car, cafeteria plan and the usual insurances
Meal and net expense allowance
Training tracks and certification
Challenging projects in a dynamic start-up environment

Important note

Please be advised that a valid work permit for Belgium is required for non-EU citizens. Unfortunately, applications without a valid work permit and sufficient language skills may not be considered."""
Data Engineer,European Union,3978247881,"Data Engineer
Data Engineer",Irium Portugal,Portugal (Remote),N/A,On-site,Mid-Senior level,2024-07-26,2024-08-02,44,51,IT Services and IT Consulting,https://www.linkedin.com/jobs/search/?currentJobId=3978247881&keywords=Data%20Engineer&location=European%20Union&refresh=true&start=300,"""About the job
Na IRIUMqueremos que persigas sempre os teus sonhos! Aqui, prepara-te para conquistares as tuas metas, enquanto disfrutas do caminho.

Atualmente encontramo-nos à procura deEngenheiros de dados.

Requirements:

Expertise in PySpark

Expertise in SQL

Experience with firestore, pubsub, Airflow, BigQuery

Familiarity with Scala is a bonus

Senior: at least >5 years of valid experience

Mid: at least >3 years of valid experience

Location will be Lisbon, Braga or Coimbra and the working model will be on-site/hybrid. Candidates must be living in Portugal.

O que oferecemos?

&#10145;Uma empresa inovadora e em crescimento, com muitas oportunidades de desenvolvimento profissional.

&#10145;Retribuição de acordo com a tua experiência e performance. Acesso a retribuição flexível e seguro médico como benefício social.

&#10145;Acesso ilimitado a formação tecnológica em modalidade livre.

A IRIUM é uma empresa formada por profissionais dinâmicos e proativos. Os nossos valores são a responsabilidade e o compromisso com a qualidade do trabalho. Este é o espírito que procuramos na IRIUM, seja qual for a tua idade.

Se te reconheces nestes valores, esta é a tua empresa!

Podemos construir juntos o futuro. Falamos?

Envie a tua candidatura para:recrutamento@irium.pt

Na IRIUM defendemos um mundo sem estereótipos nem limitações e acreditamos na igualdade para todos, princípios que subscrevemos no nosso Plano de Igualdade e Código de Ética, garantindo a igualdade de tratamento e de oportunidades à margem de qualquer condição pessoal, física ou social.

Powered by JazzHR

moKm8kzKpc"""
Data Engineer,European Union,3987876819,"Data Analyst / Data Engineer
Data Analyst / Data Engineer",Rahantech GmbH,Munich,Germany,On-site,Associate,2024-07-30,2024-08-02,0,2,Information Technology & Services,https://www.linkedin.com/jobs/search/?currentJobId=3987876819&keywords=Data%20Engineer&location=European%20Union&refresh=true&start=300,"""About the job
Rahantech is hiring a skilled Data Analyst / Data Engineer on behalf of a fast-growing company in Germany.

Tasks

You create dashboards and advise diverse stakeholders to find answers to their business questions by utilizing the latest technologies
You work with large volumes of data in relational databases, create custom analyses and optimize SQL queries
You design and implement automated data flows (ETL) and perform extensive data migrations
Develop, optimize and maintain data storage solutions, including relational and NoSQL databases 
Develop predictive models to forecast future trends and outcomes 
You ensure the accuracy and timeliness of project planning and proactively engage with all stakeholders


Requirements

You have an university degree in Data Science, Statistics, Mathematics, Computer Science or a related field
Proficiency in data analysis tools and software such as SQL, Excel, Python and R
You are familiar with data visualization tools such as Power BI, Tableau, or Dundas BI
You are proficient in working with relational databases, including MySQL
Strong analytical and problem-solving skills with a keen attention to detail"""
Data Engineer,European Union,3953034694,"Data Engineer
Data Engineer",Splio,Barcelona,Spain,On-site,Mid-Senior level,2024-07-03,2024-08-02,0,51,Internet Publishing,https://www.linkedin.com/jobs/search/?currentJobId=3953034694&keywords=Data%20Engineer&location=European%20Union&refresh=true&start=300,"""About the job
Data Engineer (W/M)

Company description:

Splio is a scale-up in the marketing and digital technology market, headquartered in Paris. The company has over 250 employees and 4 offices across Europe and MEA.

Splio publishes a SaaS marketing platform that integrates CDP and Marketing Automation, as well as all essential CRM features (loyalty, Mobile Wallets), into a single platform powered by AI.

The platform enables CRM teams in retail, e-commerce, FMCG, and Telecoms to communicate and engage with their customers in a personalized manner across all channels (email, SMS, Push Wallet...).

More than 500 retail, e-commerce, FMCG, and Telecom companies across Europe and the MEA use Splio on a daily basis, including Nature et Découvertes, Longchamp, Bazarchic, APC, The Kooples, Fnac-Darty, Micromania, Faguo, Cyrillus, Orange, and Samsung.

The mission. 

As a Data Engineer, you will be responsible for implementing DBT (data build tool) models on cloud environments using Big Query. Your role will involve setting up an effective Customer Data Platform (CDP), transforming technical requirements into robust data architectures and functional data management systems.

Responsabilities & Main Activities.

Develop and optimize DBT models to ensure data integrity and efficiency.
Create queries using SQL.
Configure and maintain data pipelines using DBT, YAML files, airflow in a GCP environment with BigQuery.
Collaborate with data scientists and analysts to understand data needs and integrate data solutions into the overall CDP architecture.
Ensure the performance and scalability of implemented solutions, adhering to industry best practices and project specifications.
Participate / handle workshop with the Customers to understand the Customer’s needs.
Participate in the continuous improvement of data management processes and integration practices.
Provide technical support and expertise during the resolution of complex data-related issues.
Configure Machine Learning models.

Skills Required. 

Degree in Computer Science, Engineering, Data Science, or related field.
At least 3 years of experience in a Data Engineering role or similar position, with proven experience in implementing DBT models and configuring YAML.
Proven skills with the Google Cloud platform, particularly BigQuery.
Experience in setting up and managing Customer Data Platforms (CDP) is a plus.
Strong analytical skills and the ability to work collaboratively.
Excellent communication skills, both written and oral, in English and in French. 
Proficient with SQL, Google Big Query, DBT, Airflow, GIT and Python.
Basic knowledge of Machine Learning.
A high degree of autonomy.

Perks & Benefits :

🌴 37 days-off (25 paid leaves + 12 Splio days)
🛋️ Remote work possible 
😋 Edenred card that you can use for lunch (8€ per days)

More information:

Contract type: Full-time. 
Place: Barcelona (SPAIN)"""
Data Engineer,European Union,3987020253,"Data Engineer
Data Engineer with verification",InterEx Group,North Holland,Netherlands,On-site,Mid-Senior level,2024-07-29,2024-08-02,100,51,Staffing and Recruiting,https://www.linkedin.com/jobs/search/?currentJobId=3987020253&keywords=Data%20Engineer&location=European%20Union&refresh=true&start=300,"""About the job
About: 
The Data Engineer extracts, combines, transforms, loads, manipulates and cleanses data all whilst effectively handling interfaces to large amounts of data and creates/integrates data structures suitable for analysis. 

The Data Engineer must understand data architecture and data management. Develop and deploys algorithms in performance-efficient code in analytical and data platforms. Liaise with enterprise architects, data governors, and subject matter experts to fill any gaps in the requirements or design.

Core Responsibilities:
• Works and experiments with state-of-the-art data storage and processing technologies.
• Builds large-scale batch and real-time data pipelines with data processing frameworks in cloud platforms or on-premise
• Leverages best practices in continuous integration and delivery
• Pre-process, clean and structures data to facilitate data exploration and advanced analytics/Machine Learning activities
• Learns and uses modern data preparation, integration and AI-enabled metadata management tools and techniques.
• Tracks data consumption patterns, working with data governance and information stewards within these teams, and participates in vetting and promoting content created in the business and by data scientists to the curated data catalogue for governed reuse
• Performs intelligent sampling and caching.
• Recommends and implements automation in existing and future integration flows.
• Helps improve data quality by driving advancements in data acquisition, testing and tooling
• Works in cross-functional agile teams to continuously experiment, iterate and deliver on new product objectives
• Analyzes requested changes to fill in the details fitting in the complete picture and while doing that aligns with all parties involved (Architects, Data Governance, …), either as preparation for yourself or for data engineer colleagues, before starting the implementation.


Education & Experience:
• Bachelor’s or Master’s Degree in Computer Science preferred or equivalent combination of education and experience
• Minimum 4 years of experience as a data engineer
• Experience in (captive) financial services and understands the processes and execution models in financial services is an asset
• Experience in Azure SQL, Azure Data Factory, Azure DevOps, Databricks, Delta Lake is a must, certification is recommended
• Experience in working with high-volume heterogeneous data sets 2
• Experience in agile software processes and data-driven development
• Experience with data lakes and dimensional models


Required Competencies and Skills:
• Azure Data Engineer Associate certification is recommended
• Databricks Data Engineer Professional certification is recommended
• Strive for clean, reusable and performant code
• Skilled ETL/ELT developer
• Strong understanding of data and information
• Business savvy, understand information from a business perspective and use that to more effectively develop enabling technologies
• Strong problem-solving and analytical skills
• Goal-oriented and positive attitude to deliver against targets
• Able to work independently and proactively
• Global, open, innovative, holistic and goal-oriented mindset
• Ability to set and meet deadlines
• Ability to work in high-pressure situations
• Excellent attention to detail
• Advanced level of English, oral and written

If you are interested in this position or know someone who would be perfect for this role please contact us to find out all details of the position!"""
Data Engineer,European Union,3990806155,"Data Engineer
Data Engineer with verification",Crocs,Hoofddorp,Netherlands,On-site,N/A,2024-08-02,2024-08-02,10,5001,Retail Apparel and Fashion,https://www.linkedin.com/jobs/search/?currentJobId=3990806155&keywords=Data%20Engineer&location=European%20Union&refresh=true&start=300,"""About the job
Crocs, Inc. (NASDAQ: CROX) is a world leader in innovative casual footwear for men, women and children. The company offers several distinct shoe collections with more than 300 four-season footwear styles. All Crocs™ shoes feature Croslite™ material, a proprietary, revolutionary technology that gives each pair of shoes the soft, comfortable, lightweight, non-marking and odor-resistant qualities that Crocs wearers know and love. Crocs fans “Get Crocs Inside” every pair of shoes, from the iconic clog to new sneakers, sandals, boots and heels. Since its inception in 2002, Crocs has sold more than 200 million pairs of shoes in more than 90 countries around the world.

Introduction on the role:

Crocs is seeking a Data Engineer to develop, test, and maintain data pipelines and related architectures within the OIC, Airflow, Azure, and Snowflake platforms. This position will help to enable the Crocs enterprise to make bigger, bolder decisions faster. The Data Engineer will work independently and with the team with the aim to facilitate the utilization of more sophisticated analytics and data for enhanced business insights.

What will you do?

Data Modeling -Execute a framework to be used within our Enterprise Data Warehouse (EDW) by providing consistent predictable techniques and methodologies for data ELT/ETL. 
Develop ETL/ELT processes and patterns to efficiently move data using batch and CI/CD processing. 
Engineering Best Practices- Adhere to engineering standard methodologies, including test-driven development, agile management, and continuous integration pipelines. 
Documentation -Create and maintain accurate and complete documentation of the pipelines developed. 
Identify and resolve issues related to data processing, data integrity, or performance in a timely manner. 
Implement automation wherever possible to streamline and optimize data engineering workflows. 
Interest in Learning - Stay ahead of on what is happening within the BI and analytics space and demonstrate interest and desire in the area of data science and machine learning 

Who are you?

Bachelor’s degree in computer science, information technology, engineering, mathematics, or equivalent technical degree 
2+ years of experience in a similar role 
Experience working in Azure. 
Experience designing data models following Kimbal Dimensional Modeling best practices. 
Experience working with modern ETL/ELT tools, such as Databricks is required. 
Familiarity with OIC business logic transformations 
Strong Proficiency in Python and experience in PySpark required. 
Strong Proficiency in SQL required. 
Experience with a business intelligence tool, such as Power BI is a plus. 
Experience in Snowflake Database or other similar columnar database 
Experience working with Azure Data Factory 
Experience utilizing Git version control in a data environment. 
Experience with continuous integration and deployment through Azure DevOps 
Experience in distributed computing is preferred. 
Experience working with SAP and Salesforce is a plus. 
Prior experience working in a cloud platform. 
Experience using Spark and Kafka for data streaming. 

What do we offer?

A job within a unique environment with a 'startup dynamic' under the umbrella of a fast growing and solid global brand; 
40 hours per week, in-office and remote combined, a fair salary, good pension arrangement and a bonus opportunity; 
Fun workplace, innovating working environment; 
25 paid holidays; 
50% discount on the most comfortable shoes in the world; 
A healthy work environment with discount on your gym membership; 
Our great training curriculum with in-person sessions and a global eLearning platform offers you a lot of room for personal growth to get a little bit better every day; 
And so much more! 

Sounds pretty amazing right? Well, what are you waiting for?!

We value diversity and provide equal employment opportunities (EEO) to all employees and applicants without regard to race, color, religion, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status."""
